name,original_price,special_price,specification,description,original_fragrance,top_notes,middle_notes,base_notes,detail_url,gender,fragrance,brand,ml,discount_rate,price_per_ml
YSL MYSLF L’Absolu 极镜淡香精迷你瓶,1200.0,680.0,7.5ml 抹式,MYSLF L'ABSOLU，YSL全新推出的浓郁香水，带来愉悦感受。全新镜面瓶身，全新清爽辛香姜味，系列中 浓度最高的香水。* 实品为银色瓶身,木质花香调,佛手柑、生姜、荳蔻,橙花、晚香玉,广藿香、木质调,https://www.1976.com.tw/prod/23302,male,木质调,YSL,7.5,43.33,90.67
Versace Eros Najim 凡赛斯爱神星渝男性香精,5000.0,3750.0,100ml,凡赛斯 Eros Najim 爱神星渝，宛如一颗闪耀星辰，自中东沙漠的曙光到余晖，展现无畏与光辉。黄柑橘与香料迸发能量，沉香与雪松堆叠力量，焦糖与零陵香豆释放迷人柔情，最后沉醉于广藿香与焚香的神秘深邃。,木质东方调,小荳蔻、绿橘、藏红花、快乐鼠尾草,焦糖、雪松、沉香,广藿香、香根草、零陵香豆,https://www.1976.com.tw/prod/23295,male,木质调,Versace,100.0,25.0,37.5
Messi 梅西同名男性淡香精,2400.0,1880.0,100ml 无胶膜,阿根廷球星梅西宣布推出首款个人香水，未来运动科技 × 低调却自信的男子气场,木质东方调,小荳蔻、苹果叶、柏树,皮革、薰衣草、鸢尾根,香草豆、广藿香、雪松,https://www.1976.com.tw/prod/23275,male,木质调,Messi,100.0,21.67,18.8
YSL MYSLF L’Absolu 极镜淡香精,5500.0,4350.0,60ml,MYSLF L'ABSOLU，YSL全新推出的浓郁香水，带来愉悦感受。全新镜面瓶身，全新清爽辛香姜味，系列中 浓度最高的香水。* 实品为银色瓶身,木质花香调,佛手柑、生姜、荳蔻,橙花、晚香玉,广藿香、木质调,https://www.1976.com.tw/prod/23271,male,木质调,YSL,60.0,20.91,72.5
Versace Eau Fraiche Extreme 凡赛斯云淡风轻男性淡香精版本迷你瓶,800.0,250.0,5ml 抹式,Versace 云淡风轻男性淡香精重新演绎经典男士香氛，清新木质调：柠檬与香料明亮开场，薰草木香沉稳中段，后调麝香迷人悠长。,木质清新调,天竺葵、粉红胡椒、柠檬,快乐鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23224,male,清新调,Versace,5.0,68.75,50.0
Versace Eau Fraiche Extreme 凡赛斯云淡风轻男性淡香精版本,3980.0,2980.0,100ml,Versace 云淡风轻男性淡香精重新演绎经典男士香氛，清新木质调：柠檬与香料明亮开场，薰草木香沉稳中段，后调麝香迷人悠长。,木质清新调,天竺葵、粉红胡椒、柠檬,快乐鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23223,male,清新调,Versace,100.0,25.13,29.8
YSL Y Le Parfum 男性香精 (2025),5000.0,3500.0,60ml,瓶身设计的很有时尚感， 味道很有层次! 很棒的男士香水!,东方调,生姜、白醛香,夜松、乳香,晚香玉、冷杉,https://www.1976.com.tw/prod/23155,male,东方调,YSL,60.0,30.0,58.33
Penhaligon's Finley 潘海利根兽首肖像系列 不期而遇的芬利（马首）淡香精,10800.0,7980.0,75ml,,木质东方调,小荳蔻、八角茴香、黑胡椒,盐、开心果、抹茶,紫罗兰叶、广藿香、皮革,https://www.1976.com.tw/prod/23151,male,木质调,Penhaligon's,75.0,26.11,106.4
Marly Pegasus 皮葛舒斯(飞马)男性淡香精行动香氛,1200.0,799.0,5ml 抹式,名副其实的诱人香味。既有皇家高贵的感觉又带有异国气息。,东方花香调,佛手柑、天芥菜、小茴香,杏仁茉莉、杏仁、薰衣草,琥珀、香草、檀香,https://www.1976.com.tw/prod/23129,male,花香调,Parfums de Marly,5.0,33.42,159.8
Paco Rabanne Invictus parfume 勇者男性香精迷你瓶迷你瓶,800.0,400.0,5ml 抹式,Paco Rabanne 的新 INVICTUS PARFUM 将新鲜的薰衣草与性感的黑皂和令人上瘾的檀香木结合在一起，为将生活变成传奇的半神英雄带来浓郁的香味。,东方调,海洋调、薰衣草、粉红胡椒,香皂、紫罗兰叶、桃金娘,麝香、开司米木、檀香,https://www.1976.com.tw/prod/23103,male,东方调,Paco Rabanne Invictus,5.0,50.0,80.0
Viktor & Rolf Spicebomb 激情炸弹男性淡香水迷你瓶,800.0,499.0,7ml 抹式,整体造型让人眼睛为之一亮，创意无限加上极高的质感，香味算是外刚内柔，前味的胡椒及肉桂略为呛辣，相当符合激情炸弹之名，大约半小时后，香味渐趋柔和，烟熏的番红花及皮革带来很温暖的氛围，香味的持久度和传香的表现都蛮优秀噢，天气冷时穿上这瓶香水再适合不过了！,东方调,佛手柑、西柚、粉红胡椒,藏红花、肉桂、辣椒,皮革、烟草、香根草,https://www.1976.com.tw/prod/23101,male,东方调,Viktor & Rolf,7.0,37.62,71.29
